"Mouse_ID","Transect","Code","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI"
"SK_2667","HZ_CZ","KOZL","M",13.0325,50.1083,2014,"m",NA,"m","m","m","d","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,"CZ","Kozlov","SK",2667,"9/21/14","1M","Dissection",108.7015935965,"9/22/14",1,18.09,81.7,76.4,0.0713,0.0809,0.0787,0.0798,0.029,0.1334,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/d/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2670","HZ_CZ","BUS2","M",13.3741666667,50.2216666667,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Buškovice2","SK",2670,"9/21/14","1M","Dissection",126.11,"9/22/14",1,16.14,80.7,63.9,0.1925,0.0661,0.0705,0.0683,0.0198,0.0671,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"1",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2672","HZ_CZ","NEPO1","F",13.3067,50.2161,2014,"m",NA,"m/m","m/m","m/m","m/m","m/m","m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Nepomyšl 172","SK",2672,"9/21/14","1F","Dissection",121.9444572017,"9/22/14",1,23.87,85,76.3,0.0404,NA,NA,NA,NA,NA,NA,NA,"B+",1,6,NA,NA,"A",NA,NA,NA,NA,"0",NA,"","","m/m/m/m/m/m/m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2673","HZ_CZ","STR2","M",11.7625,50.1814,2014,"d",NA,"d","d","d","d","d","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"D","Straas2","SK",2673,"9/22/14","1M","Dissection",21.9964785946,"9/23/14",1,21.63,87.5,82,0.0618,0.0737,0.0748,0.0743,0.0243,0.142,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"d","","d/d/d/d/d/d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2679","HZ_CZ","NEPO1","M",13.3067,50.2161,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Nepomyšl 172","SK",2679,"9/22/14","1M","Dissection",121.9444572017,"9/23/14",1,15.72,79,79,0.0309,0.0682,0.0969,0.0826,0.0193,0.1246,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2680","HZ_CZ","OBIL2","M",12.4714,50.0964,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Obilná2","SK",2680,"9/22/14","1M","Dissection",72.3345730784,"9/23/14",1,12.13,72.6,65.6,0.0313,0.0588,0.0606,0.0597,0.0123,0.0203,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2683","HZ_CZ","ODR26","M",12.4842,50.1044,2014,"m",NA,"m","m","m","d","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,"CZ","Odrava 26","SK",2683,"9/22/11","1M","Dissection",72.8311794111,"9/23/11",1,18.15,80.9,NA,0.0453,0.0782,0.0801,0.0792,0.0249,0.1375,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/d/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2686","HZ_CZ","VRBI4","M",13.2933,50.1775,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Vrbička 4","SK",2686,"9/22/14","1M","Dissection",122.77,"9/23/14",1,13.73,74.9,70.4,0.0369,0.0624,0.0615,0.062,0.0115,0.0508,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2689","HZ_CZ","STR2","M",11.7625,50.1814,2014,"d",NA,"d","d","d","d","d","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"D","Straas2","SK",2689,"9/22/14","1M","Dissection",21.9964785946,"9/23/14",1,12.77,71.9,75.6,0.0513,0.0388,0.0405,0.0397,0.0058,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"d","","d/d/d/d/d/d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2691","HZ_CZ","ODR26","F",12.4842,50.1044,2014,"m",NA,"m/m","m/m","m/m","m/m","m/m","m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Odrava 26","SK",2691,"9/22/14","1F","Dissection",72.8311794111,"9/23/14",1,19.23,82.8,80.2,0.0421,NA,NA,NA,NA,NA,NA,NA,"B+",1,4,NA,NA,"A",NA,NA,NA,NA,"0",NA,"","","m/m/m/m/m/m/m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
