"Mouse_ID","Transect","Code","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI","location","OPG"
"AA_0262","HZ_BR","MARIEH","F",13.5994,52.2458,2017,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.39,87.56,"83.37","Mus musculus","11-09-17",NA,NA,"0.08",NA,NA,NA,NA,NA,0,0,0,0,0,"Marienhof 6 15741 Bestensee","adult","German",NA,NA,NA,NA,NA,"0",0,"0.2","TRUE",TRUE,0,0,0,0,0,20,0,0,0,0.684861681837806,"13.5994 52.2458",0
"AA_0264","HZ_BR","ERKNKI","M",13.7581,52.3989,2017,NA,NA,"d","d","m","d","d","d","100","100","100/125","100","100","100","mm","dd","dm","dd","dd","dd","HI 12",0.222222222,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.98,82.8,"75.69","Mus musculus","11-09-17",NA,NA,"0.03",NA,NA,NA,NA,NA,0,0,0,0,0,"Erkner Kinderbauernhof","adult","German",NA,NA,NA,NA,NA,"0",0,"0.19","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.666462976927692,"13.7581 52.3989",0
"AA_0268","HZ_BR","GRAB7","M",13.7072,52.2422,2017,"d","m","d","d","d","d","d","d","94","100","100","100","70","100","dd","dd","dd","dd","mm","dd","HI 14",0.15,"Germany",NA,NA,NA,NA,NA,NA,NA,"13/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,9,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.83,82,"80.27","Mus musculus","12-09-17",NA,NA,"0.0847",NA,"0.0238",145,NA,NA,0,2,0,0,0,"Dorfanger 7 15754 Heidesee","adult","Czech",0.0646,0.0703,NA,NA,NA,NA,NA,"0.75","TRUE",TRUE,0,0,0,0,0,12,9,0,2,0.653747668101057,"13.7072 52.2422",0
"AA_0269","HZ_BR","GIEL68","M",13.8756,52.6053,2017,"d",NA,NA,NA,NA,NA,NA,NA,"94","95","125","120","100","80","dd","mm","mm","mm","dd","mm","HI 7",0.615384615,"Germany",NA,NA,NA,NA,NA,NA,NA,"13/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62,69.25,"72.22","Mus musculus","12-09-17",NA,NA,"0.03",NA,"5",NA,NA,NA,0,0,0,0,0,"Alt-Gielsdorf 68 15345 Alt-Landsberg","adult","Czech",0.0349,0.0393,NA,NA,NA,NA,NA,"0.09","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.534212403024168,"13.8756 52.6053",0
"AA_0270","HZ_BR","GIEL68","F",13.8756,52.6053,2017,"d",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA,"90/100","80/100","mm","dd",NA,NA,"dm","dm","HI 5",0.444444444,"Germany",NA,NA,NA,NA,NA,NA,NA,"13/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,9,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"white spot on belly. Resorbed embryos (2/3 left, 4/5 right)",18.38,83.31,"77.16","Mus musculus","12-09-17",NA,NA,"0.0493",NA,NA,NA,NA,NA,0,0,0,2,0,"Dorfanger 7 15754 Heidesee","pregnant","Czech",NA,NA,NA,NA,NA,"3",5,"1.12","TRUE",TRUE,0,0,0,0,2,85,9,0,0,0.658274271544134,"13.8756 52.6053",0
"AA_0271","HZ_BR","SCHORF28","F",13.5353,52.8969,2017,NA,NA,NA,NA,NA,NA,NA,NA,"100","95/100","125","100/120","70/100","80/100","mm","dm","mm","dm","dm","dm","HI 6",0.666666667,"Germany",NA,NA,NA,NA,NA,NA,NA,"13/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"post partum?",25.42,98.5,"95.6","Mus musculus","12-09-17",NA,NA,"0.0534",NA,NA,NA,NA,NA,0,0,0,0,0,"Reiterhof Böse","adult","Czech",NA,NA,0.0074,0.0075,0.0149,"0",0,"0.28","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.704901177534645,"13.5353 52.8969",0
"AA_0272","HZ_BR","SCHORF28","M",13.5353,52.8969,2017,NA,NA,NA,NA,NA,NA,NA,NA,"100","100",NA,"100","70/100",NA,"mm","dd",NA,"dd","dm",NA,"HI 4",0.375,"Germany",NA,NA,NA,NA,NA,NA,NA,"13/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.02,69.54,"76.51","Mus musculus","12-09-17",NA,NA,"0.0239",NA,"0.0284",NA,NA,NA,0,0,0,0,0,"Reiterhof Böse","adult","Czech",0.0368,0.0375,NA,NA,NA,NA,NA,"0.14","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.565715976492762,"13.5353 52.8969",0
"AA_0286","HZ_BR","NEUZI8","F",13.7772,52.3744,2017,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90/100","100","dd","dd","dd","dd","dm","dd","HI 13",0.04,"Germany",NA,NA,NA,NA,NA,NA,NA,"13/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.87,71.15,"79.27","Mus musculus","12-09-17",NA,NA,"<0.01",NA,NA,NA,NA,NA,0,0,0,0,0,"Kiefernweg 8, 15537 Gosen-Neu Zittau, Germany","adult","German",NA,NA,NA,NA,NA,NA,NA,"0.08","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.580102190344099,"13.7772 52.3744",0
"AA_0295","HZ_BR","CROU17","M",14.1161,52.7914,2017,"d","m","m","m","m","m","d","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm","HI 14",0.9,"Germany",NA,NA,NA,NA,NA,NA,NA,"14/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Died in cage. Small protocol ",16.24,82.04,"69.37","Mus musculus","13-09-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Croustillier 17, 16259 oderage","adult","Czech",NA,NA,NA,NA,NA,NA,NA,"0.06","FALSE",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.632481609550144,"14.1161 52.7914",0
"AA_0296","HZ_BR","ALTG26","M",14.0953,52.7383,2017,"d","m","m","m","m","m","m","m","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm","HI 14",0.95,"Germany",NA,NA,NA,NA,NA,NA,NA,"14/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.62,77.35,"68.87","Mus musculus","13-09-17",NA,NA,"0.0288",NA,"0.0156",0.0887,NA,NA,0,0,0,0,0,"Alt Gaul 26b 16269 Wriezen florian köhler","adult","Czech",0.0651,0.0633,NA,NA,NA,NA,NA,"0.91","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.616876807786868,"14.0953 52.7383",15385
"AA_0297","HZ_BR","CROU17","F",14.1161,52.7914,2017,"d",NA,"mm","mm","mm","dm","mm","mm","100","100","100/125","120","90","80","mm","dd","dm","mm","mm","mm","HI 13",0.8,"Germany",NA,NA,NA,NA,NA,NA,NA,"14/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,96,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.74,82.33,"79.2","Mus musculus","13-09-17",NA,NA,"0.0316",NA,NA,NA,NA,NA,17,0,0,0,0,"Croustillier 17, 16259 oderage","pregnant","Czech",NA,NA,NA,NA,NA,"3",3,"0.39","FALSE",TRUE,0,0,0,0,0,0,96,17,0,0.652005076456474,"14.1161 52.7914",0
"AA_0301","HZ_BR","ALTG26","F",14.0953,52.7383,2017,"m",NA,"mm","mm","mm","dm","mm",NA,"94","95","125","120","100","80","dd","mm","mm","mm","dd","mm","HI 12",0.782608696,"Germany",NA,NA,NA,NA,NA,NA,NA,"14/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,89.5,"80.82","Mus musculus","13-09-17",NA,NA,"0.0323",NA,NA,NA,NA,NA,49,0,0,0,0,"Alt Gaul 26b 16269 Wriezen florian köhler","post partum","Czech",NA,NA,0.0058,0.0064,0.0122,"0",0,"0.6","FALSE",TRUE,0,0,0,0,0,0,0,49,0,0.651617274478291,"14.0953 52.7383",58333
