Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
103,50.1925,12.3936111111,F,0.815826828,0,0,0,0,0,0,0,0,57
104,50.1813888889,11.7622222222,M,0.980614484,0,0,0,0,0,0,13,0,225
105,50.0880555556,12.1344444444,F,0.953125,0,0,0,0,0,0,0,0,25
106,50.1491666667,12.5066666667,M,0.131376147,0,0,0,0,0,0,0,0,17
107,50.1019444444,12.2127777778,F,0.911450925,0,0,0,0,0,0,0,0,190
108,50.0597222222,12.4205555556,M,0.406605505,0,0,0,0,0,0,0,0,75
109,50.1061111111,12.3613888889,M,0.503308824,0,0,0,0,0,0,0,0,0
110,49.8908333333,11.6177777778,M,0.982726939,0,0,0,0,0,0,0,0,16
111,50.1019444444,12.2127777778,F,0.901918977,0,0,0,0,0,0,28,0,42
112,50.0433333333,12.4486111111,M,0.226637233,0,0,0,0,0,0,0,0,4
113,50.0597222222,12.4205555556,F,0.309472934,0,0,0,0,0,0,0,0,15
114,50.1216666667,12.2322222222,M,0.890436057,0,0,0,0,0,0,0,0,0
115,50.1061111111,12.3613888889,F,0.531473534,0,0,0,0,0,0,0,0,0
116,49.855,11.7861111111,M,0.978316795,0,0,0,0,0,0,0,0,42
117,50.1061111111,12.3613888889,F,0.594932191,0,0,0,0,0,0,0,0,0
118,49.9280555556,11.7819444444,M,0.976173021,0,0,0,0,0,0,0,0,19
119,50.1402777778,12.2966666667,F,0.701067616,0,0,0,0,0,0,0,0,100
120,49.8908333333,11.6177777778,M,0.985688073,0,0,0,0,0,0,2,0,3
121,49.9280555556,11.7819444444,F,0.976933996,0,42,0,0,0,0,0,0,247
122,50.1372222222,11.7627777778,M,0.986090776,0,0,3,0,0,8,0,0,44
123,50.0347222222,12.2830555556,F,0.897719173,0,0,0,0,0,0,0,0,54
124,50.1925,12.3936111111,M,0.825974982,0,0,0,0,0,0,4,0,6
125,49.9280555556,11.7819444444,F,0.978322672,0,0,0,0,0,0,1,0,10
126,49.8961111111,12.4527777778,M,0.857456944,0,5,0,0,0,0,0,0,2
127,50.1925,12.4725,F,0.737384506,0,0,0,0,0,0,0,0,0
128,50.1061111111,12.3613888889,M,0.565105127,0,0,0,0,0,0,0,0,0
129,50.1813888889,11.7622222222,F,0.980427046,0,1,3,0,0,1,8,0,4
130,50.0691666667,13.3841666667,M,0.03147877,6,2,0,0,0,0,3,0,21
131,50.1925,12.3936111111,F,0.836292614,0,0,0,0,0,0,0,0,9
132,50.0691666667,13.3841666667,M,0.030380673,0,0,0,0,0,0,2,0,8
133,50.0691666667,13.3841666667,F,0.032292406,0,0,2,0,0,0,6,0,35
134,50.2038888889,12.5186111111,M,0.171869262,0,0,0,0,0,0,0,0,13
135,50.2038888889,12.5186111111,F,0.106254442,0,0,0,0,0,0,0,0,17
136,50.2038888889,12.5186111111,M,0.115835777,0,0,0,0,0,0,0,0,7
137,50.2038888889,12.5186111111,F,0.116014235,0,0,0,0,0,0,0,0,21
138,50.1061111111,12.3613888889,M,0.65987165,0,0,0,0,0,0,0,0,0
139,50.0347222222,12.2830555556,F,0.896797153,0,1,2,0,0,0,0,0,18
140,50.1925,12.4725,M,0.784090909,0,0,0,0,0,0,0,0,0
141,50.1925,12.4725,F,0.689679715,0,0,0,0,0,0,0,0,0
